username,repo_name,stars,repo_url
serverless,serverless,42000,https://github.com/serverless/serverless
localstack,localstack,38400,https://github.com/localstack/localstack
donnemartin,data-science-ipython-notebooks,22400,https://github.com/donnemartin/data-science-ipython-notebooks
bregman-arie,devops-exercises,21100,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,12400,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,12000,https://github.com/aws/aws-cli
kubernetes-sigs,kubespray,11800,https://github.com/kubernetes-sigs/kubespray
pulumi,pulumi,11300,https://github.com/pulumi/pulumi
donnemartin,awesome-aws,10000,https://github.com/donnemartin/awesome-aws
apereo,cas,9200,https://github.com/apereo/cas
mozilla,sops,9000,https://github.com/mozilla/sops
aws,chalice,8600,https://github.com/aws/chalice
aws-amplify,amplify-js,8600,https://github.com/aws-amplify/amplify-js
apex,up,8500,https://github.com/apex/up
aws,serverless-application-model,8400,https://github.com/aws/serverless-application-model
google,go-cloud,8200,https://github.com/google/go-cloud
aws,aws-cdk,8200,https://github.com/aws/aws-cdk
caprover,caprover,8100,https://github.com/caprover/caprover
angristan,openvpn-install,7400,https://github.com/angristan/openvpn-install
aws,aws-sdk-go,7300,https://github.com/aws/aws-sdk-go
boto,boto3,7000,https://github.com/boto/boto3
aws,aws-sdk-js,6900,https://github.com/aws/aws-sdk-js
hashicorp,terraform-provider-aws,6800,https://github.com/hashicorp/terraform-provider-aws
GoogleCloudPlatform,terraformer,6600,https://github.com/GoogleCloudPlatform/terraformer
aws,amazon-sagemaker-examples,6500,https://github.com/aws/amazon-sagemaker-examples
awslabs,aws-shell,6400,https://github.com/awslabs/aws-shell
gruntwork-io,terratest,5900,https://github.com/gruntwork-io/terratest
aws,aws-sam-cli,5900,https://github.com/aws/aws-sam-cli
99designs,aws-vault,5800,https://github.com/99designs/aws-vault
donnemartin,dev-setup,5600,https://github.com/donnemartin/dev-setup
